Perfume Name,Perfume Brand,Link
Delina Exclusif,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-Exclusif-50370.html
Good Girl Blush,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-Blush-78576.html
Black Afgano,Nasomatto,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html
Another 13,Le Labo,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html
Narciso Rodriguez For Her,Narciso Rodriguez,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html
Oajan,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html
Si,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-18453.html
Carlisle,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carlisle-33514.html
Green Irish Tweed,Creed,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html
Valentino Uomo Born In Roma Intense,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html
Gypsy Water,Byredo,https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-3575.html
Alexandria II,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Alexandria-II-17786.html
La Belle Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Le-Parfum-65175.html
Bvlgari Man In Black,Bvlgari,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Man-In-Black-26358.html
Very Good Girl,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Very-Good-Girl-65560.html
Musc Ravageur,Frederic Malle,https://www.fragrantica.com/perfume/Frederic-Malle/Musc-Ravageur-1801.html
Spicebomb,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-13857.html
Reflection Man,Amouage,https://www.fragrantica.com/perfume/Amouage/Reflection-Man-920.html
Bentley for Men Intense,Bentley,https://www.fragrantica.com/perfume/Bentley/Bentley-for-Men-Intense-17666.html
Eros Eau de Parfum,Versace,https://www.fragrantica.com/perfume/Versace/Eros-Eau-de-Parfum-62762.html
1 Million Lucky,Paco Rabanne,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Lucky-48903.html
