Rank,Perfume Name,Perfume Brand,Link,Year,Perfumers,Rating,Votes,Main Accords,Top Notes,Middle Notes,Base Notes
21,Emporio Armani Stronger With You Intensely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,2019,Dominique Ropion,4.56,"7,351","{'vanilla': '100', 'sweet': '96.0739', 'amber': '71.0068', 'cinnamon': '68.2517', 'warm spicy': '66.1757', 'powdery': '59.3952', 'aromatic': '58.4165', 'soft spicy': '53.1176', 'caramel': '50.0677'}","['Pink Pepper', 'Juniper', 'Juniper', 'Violet', 'Toffee', 'Cinnamon', 'Cinnamon', 'Lavender', 'Sage', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amber', 'Suede']","['Toffee', 'Cinnamon', 'Cinnamon', 'Lavender', 'Sage', 'Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amber', 'Suede']","['Vanilla', 'Tonka Bean', 'Tonka Bean', 'Amber', 'Suede']"
22,Sauvage,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html,2015,Dominique Ropion,3.89,"21,467","{'fresh spicy': '100', 'amber': '73.4404', 'citrus': '69.9924', 'aromatic': '63.0551', 'musky': '58.8411', 'woody': '53.2846', 'herbal': '45.7301', 'lavender': '45.6244', 'warm spicy': '44.9713'}","['Calabrian bergamot', 'Pepper', 'Pepper', 'Sichuan Pepper', 'Lavender', 'Lavender', 'Pink Pepper', 'Vetiver', 'Patchouli', 'Geranium', 'elemi', 'Ambroxan', 'Cedar', 'Cedar', 'Labdanum']","['Sichuan Pepper', 'Lavender', 'Lavender', 'Pink Pepper', 'Vetiver', 'Patchouli', 'Geranium', 'elemi', 'Ambroxan', 'Cedar', 'Cedar', 'Labdanum']","['Ambroxan', 'Cedar', 'Cedar', 'Labdanum']"
23,Lost Cherry,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,,,,,,,,
24,Le Beau Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,,,,,,,,
25,Acqua di Giò Profumo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,,,,,,,,
26,Ombré Leather (2018),Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,2018,Dominique Ropion,4.35,"9,910","{'leather': '100', 'animalic': '71.137', 'white floral': '57.5914', 'warm spicy': '56.8165', 'amber': '53.7873', 'smoky': '51', 'earthy': '47.3321', 'mossy': '46.414', 'patchouli': '44.6058'}","['Cardamom', 'Leather', 'Jasmine Sambac', 'Jasmine Sambac', 'Amber', 'Moss', 'Moss', 'Patchouli']","['Leather', 'Jasmine Sambac', 'Jasmine Sambac', 'Amber', 'Moss', 'Moss', 'Patchouli']","['Amber', 'Moss', 'Moss', 'Patchouli']"
27,Good Girl,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html,2016,Dominique Ropion,3.90,"15,920","{'sweet': '100', 'white floral': '98.3892', 'warm spicy': '95.1859', 'vanilla': '92.015', 'cacao': '70.7716', 'amber': '69.1415', 'woody': '64.2595', 'tuberose': '64.1419', 'almond': '60.9994', 'powdery': '59.2203'}","['Almond', 'Coffee', 'Coffee', 'Bergamot', 'Lemon', 'Tuberose', 'Jasmine Sambac', 'Jasmine Sambac', 'Orange Blossom', 'Orris', 'Bulgarian Rose', 'Tonka Bean', 'Cacao', 'Cacao', 'Vanilla', 'Praline', 'Sandalwood', 'Musk', 'Amber', 'Cashmere Wood', 'Cinnamon', 'Patchouli', 'Cedar']","['Tuberose', 'Jasmine Sambac', 'Jasmine Sambac', 'Orange Blossom', 'Orris', 'Bulgarian Rose', 'Tonka Bean', 'Cacao', 'Cacao', 'Vanilla', 'Praline', 'Sandalwood', 'Musk', 'Amber', 'Cashmere Wood', 'Cinnamon', 'Patchouli', 'Cedar']","['Tonka Bean', 'Cacao', 'Cacao', 'Vanilla', 'Praline', 'Sandalwood', 'Musk', 'Amber', 'Cashmere Wood', 'Cinnamon', 'Patchouli', 'Cedar']"
28,Ultra Male,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,2015,Dominique Ropion,4.42,"10,637","{'vanilla': '100', 'fruity': '80.793', 'sweet': '79.2807', 'aromatic': '74.458', 'cinnamon': '70.3865', 'warm spicy': '68.7959', 'fresh spicy': '60.5238', 'powdery': '58.4223', 'lavender': '58.3743', 'green': '57.7269'}","['Pear', 'Lavender', 'Lavender', 'Mint', 'Bergamot', 'Lemon', 'Cinnamon', 'Clary Sage', 'Clary Sage', 'Caraway', 'Black Vanilla Husk', 'Amber', 'Amber', 'Patchouli', 'Cedar']","['Cinnamon', 'Clary Sage', 'Clary Sage', 'Caraway', 'Black Vanilla Husk', 'Amber', 'Amber', 'Patchouli', 'Cedar']","['Black Vanilla Husk', 'Amber', 'Amber', 'Patchouli', 'Cedar']"
29,Libre,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html,2019,Dominique Ropion,3.92,"12,955","{'white floral': '100', 'citrus': '82.1937', 'lavender': '75.9169', 'vanilla': '66.515', 'aromatic': '58.1483', 'sweet': '56.1013', 'powdery': '53.7876', 'animalic': '52.8635', 'woody': '50.8551', 'musky': '49.8782'}","['Lavender', 'Mandarin Orange', 'Mandarin Orange', 'Black Currant', 'Petitgrain', 'Lavender', 'Orange Blossom', 'Orange Blossom', 'Jasmine', 'Madagascar Vanilla', 'Musk', 'Musk', 'Cedar', 'Ambergris']","['Lavender', 'Orange Blossom', 'Orange Blossom', 'Jasmine', 'Madagascar Vanilla', 'Musk', 'Musk', 'Cedar', 'Ambergris']","['Madagascar Vanilla', 'Musk', 'Musk', 'Cedar', 'Ambergris']"
30,Cloud,Ariana Grande,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-50384.html,2018,Dominique Ropion,4.01,"11,608","{'sweet': '100', 'lactonic': '64.7359', 'vanilla': '60.5345', 'coconut': '53.4517', 'musky': '45.4554'}","['Lavender', 'Pear', 'Pear', 'Bergamot', 'Whipped Cream', 'Coconut', 'Coconut', 'Praline', 'Vanilla Orchid', 'Musk', 'Woody Notes', 'Woody Notes']","['Whipped Cream', 'Coconut', 'Coconut', 'Praline', 'Vanilla Orchid', 'Musk', 'Woody Notes', 'Woody Notes']","['Musk', 'Woody Notes', 'Woody Notes']"
